equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:07:30 +0800] "GET /repair_orders HTTP/1.1" 200 28135 "http://10.168.93.93:5020/index" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 08:07:30,320] INFO in socketio_handler: ✓ 用户连接: admin (ID: 7, SID: Rz8Y0cwqijZo3Yg2AAAP)
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:08:07:35 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:07:36 +0800] "GET /reports HTTP/1.1" 200 39122 "http://10.168.93.93:5020/repair_orders" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 08:07:36,557] INFO in socketio_handler: ✓ 用户连接: admin (ID: 7, SID: mq1tEvPiUpgH3zLYAAAR)
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:07:38 +0800] "GET /statistics HTTP/1.1" 200 43419 "http://10.168.93.93:5020/reports" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 08:07:38,787] INFO in socketio_handler: ✓ 用户连接: admin (ID: 7, SID: d1S4IPpMgs8CJerHAAAT)
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:07:41 +0800] "GET /statistics/export/part_requests HTTP/1.1" 200 5206 "http://10.168.93.93:5020/statistics" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:07:43 +0800] "GET /statistics/export/spare_parts HTTP/1.1" 200 5476 "http://10.168.93.93:5020/statistics" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:08:07:44 +0800] "GET /statistics/export/transfers HTTP/1.1" 200 5193 "http://10.168.93.93:5020/statistics" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
